time,0,1,2,3
2016-06-28 11:46:00.111,3.679289367161141,2.3585401723055486,5.331111544156952,6.893521037026553
2016-06-28 11:46:00.236,3.956193651907046,2.2321834513578955,5.215487769676622,6.9163157712435375
2016-06-28 11:46:00.361,4.270568528268617,2.1851401376416306,4.985703093670424,6.918802520234676
2016-06-28 11:46:00.486,4.517308005231666,2.057765056463821,4.906911108915832,6.97984564818845
2016-06-28 11:46:00.611,4.644388305838832,1.96133196011705,4.8982635220703425,7.029235472285308
2016-06-28 11:46:00.736,4.68599582252902,1.970502334283336,4.865235894403906,7.036473307443984
2016-06-28 11:46:00.861,4.762199488696943,1.9701541975254577,4.8045131476191685,7.045807130330638
2016-06-28 11:46:00.986,4.802839774760665,2.0378682939186996,4.8157477990136695,7.100112953262588
2016-06-28 11:46:01.111,4.790098124872514,2.145194198851869,4.900552563858311,7.180690330868833
2016-06-28 11:46:01.236,4.655770187577691,2.2569348875530353,4.953641594599443,7.162996312573179
2016-06-28 11:46:01.361,4.5261246907117485,2.324172721716123,4.976761557971507,7.1172845356317485
2016-06-28 11:46:01.486,4.438920478689881,2.3257745508291334,5.067618394458631,7.126990842513573
2016-06-28 11:46:01.611,4.415077087068814,2.368020698569619,5.104279142869048,7.152208979185533
2016-06-28 11:46:01.736,4.3223050254213495,2.39535183068086,5.157237822994932,7.142627883941477
2016-06-28 11:46:01.861,4.080163967804496,2.462018746826471,5.351108464434839,7.165447376964072
2016-06-28 11:46:01.986,3.9405288046698628,2.3946490554140407,5.247961979172711,6.985929880400362
2016-06-28 11:46:02.111,4.1230267388556765,2.147510462806637,5.227481531732645,6.995549573964059
2016-06-28 11:46:02.236,4.356753171225079,1.8739141019474348,5.220981946410941,7.0534746573023295
2016-06-28 11:46:02.361,4.4592024138006465,1.7506844311724663,5.287046131183725,7.134580501897779
2016-06-28 11:46:02.486,4.356571168463889,1.7640744646338269,5.398901084041249,7.158198375144804
2016-06-28 11:46:02.611,4.258930171608116,1.7925729716923489,5.408797526389807,7.1138523141091685
2016-06-28 11:46:02.736,4.188611263014141,1.8268176257585678,5.435426081403917,7.101097354411995
2016-06-28 11:46:02.861,4.097295054343341,1.8985793850024222,5.445154900020238,7.074047096868736
2016-06-28 11:46:02.986,4.104564426574611,1.8833035502023154,5.400723555600714,7.040035249778714
2016-06-28 11:46:03.111,4.129905030538536,1.895853107242141,5.354715180714793,7.023058395890258
2016-06-28 11:46:03.236,4.188972744742005,1.8968197503280804,5.3973189386528615,7.090590211468076
2016-06-28 11:46:03.361,4.180560279972925,1.9272868940980414,5.412983800053447,7.105766154771097
2016-06-28 11:46:03.486,4.144313580348687,2.0199272539463893,5.490112252910018,7.169154323422719
2016-06-28 11:46:03.611,4.10268594179067,2.1816482108663937,5.602370498106264,7.2786108599783494
2016-06-28 11:46:03.736,3.917189125776745,2.329876933847417,5.675384056501602,7.278920343208215
2016-06-28 11:46:03.861,3.7462363896239643,2.4475524521963523,5.659535958703455,7.214925319159763
2016-06-28 11:46:03.986,3.6282881664273865,2.488970416116578,5.6473558228110265,7.15905556204016
2016-06-28 11:46:04.111,3.617996126630975,2.492319311967876,5.561115510034818,7.087140272428265
2016-06-28 11:46:04.236,3.6867454482675903,2.46389106240775,5.4717944741882905,7.042967125827871
2016-06-28 11:46:04.361,3.827851310174103,2.4048298526408294,5.452483289437633,7.082741439199284
2016-06-28 11:46:04.486,3.8292909769932186,2.4492442408169466,5.409247825757825,7.065566415944473
2016-06-28 11:46:04.611,3.8503314402557973,2.505307447992257,5.393246764763478,7.084400346847959
2016-06-28 11:46:04.736,3.8348970502765014,2.5170867665154883,5.414245406739667,7.096211277913616
2016-06-28 11:46:04.861,3.822751041450667,2.5335136986414835,5.415607511051248,7.09654295413414
2016-06-28 11:46:04.986,3.8079879956362657,2.4271464444873287,5.464344957213334,7.088785386039006
2016-06-28 11:46:05.111,3.7918156855724834,2.3594909051190838,5.489629526508086,7.076799832057043
2016-06-28 11:46:05.236,3.807433330525695,2.391060545732217,5.541662442986397,7.136087284483087
2016-06-28 11:46:05.361,3.779858673515074,2.4192689635503575,5.564026744777003,7.148327603456554
2016-06-28 11:46:05.486,3.8415830050032636,2.372151948790539,5.480036450732357,7.100398886952475
2016-06-28 11:46:05.611,3.8950290655565216,2.305278246694478,5.517641487005301,7.13652063651013
2016-06-28 11:46:05.736,3.950623609523622,2.2582448196475005,5.506846951529503,7.143700715816697
2016-06-28 11:46:05.861,3.967453387398924,2.197310709522013,5.475516277507437,7.109862111223552
2016-06-28 11:46:05.986,4.044047763208043,2.112767417202196,5.481625902819668,7.132063586982575
2016-06-28 11:46:06.111,4.0562087524539825,2.0961147933035016,5.480332838222253,7.133062083557611
2016-06-28 11:46:06.236,3.9865806097520915,2.105776627145698,5.501790934546303,7.113144427673345
2016-06-28 11:46:06.361,3.9087943701406065,2.1119424975072625,5.499814447434264,7.070143810208302
2016-06-28 11:46:06.486,3.9550880522348137,2.0766020199931146,5.4368223988397615,7.0366210106055735
2016-06-28 11:46:06.611,3.9698220827900195,2.0894009930598108,5.420989022907135,7.036491019342402
2016-06-28 11:46:06.736,4.0025236033671625,2.0260705533249146,5.402593226392274,7.022333704148591
2016-06-28 11:46:06.861,4.015364012099116,1.9850648164642108,5.396061260268394,7.012924325828287
2016-06-28 11:46:06.986,3.9980952224593316,2.036610929630428,5.393459542145126,7.015836038513055
2016-06-28 11:46:07.111,3.94679666290061,2.0297745739842252,5.340309764604529,6.943781181849462
